PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LaMarcus Aldridge,8,21301172,4/9/2014,1610612757,POR,Portland,200746,F,,37:05:00,9,20,0.45,0,0,0,4,6,0.667,2,6,8,2,2,1,1,0,22,13
LaMarcus Aldridge,8,21301187,4/11/2014,1610612757,POR,Portland,200746,F,,33:34:00,8,19,0.421,0,0,0,2,2,1,3,11,14,2,0,0,1,2,18,10
LaMarcus Aldridge,8,21301201,4/13/2014,1610612757,POR,Portland,200746,F,,38:08:00,11,23,0.478,0,0,0,4,6,0.667,1,5,6,2,3,0,2,0,26,-10
LaMarcus Aldridge,8,41300171,4/20/2014,1610612757,POR,Portland,200746,F,,44:55:00,17,31,0.548,2,2,1,10,13,0.769,7,11,18,2,0,2,3,6,46,17
LaMarcus Aldridge,8,41300172,4/23/2014,1610612757,POR,Portland,200746,F,,36:13:00,18,28,0.643,0,0,0,7,8,0.875,3,5,8,1,0,3,1,2,43,3
LaMarcus Aldridge,8,41300173,4/25/2014,1610612757,POR,Portland,200746,F,,43:10:00,8,22,0.364,0,1,0,7,7,1,1,9,10,3,0,3,0,4,23,-10
LaMarcus Aldridge,8,41300174,4/27/2014,1610612757,POR,Portland,200746,F,,43:59:00,12,23,0.522,0,0,0,5,8,0.625,3,7,10,2,2,4,1,3,29,14
LaMarcus Aldridge,8,41300175,4/30/2014,1610612757,POR,Portland,200746,F,,38:42:00,3,12,0.25,0,0,0,2,4,0.5,2,6,8,2,2,4,1,3,8,1
LaMarcus Aldridge,8,41300176,5/2/2014,1610612757,POR,Portland,200746,F,,39:52:00,10,26,0.385,0,0,0,10,10,1,4,9,13,2,0,0,1,4,30,-3
LaMarcus Aldridge,8,41300221,5/6/2014,1610612757,POR,Portland,200746,F,,41:25:00,12,25,0.48,0,0,0,8,9,0.889,3,11,14,0,2,0,2,5,32,-23
LaMarcus Aldridge,8,41300222,5/8/2014,1610612757,POR,Portland,200746,F,,41:14:00,6,23,0.261,0,0,0,4,4,1,3,7,10,3,1,1,4,2,16,-11
LaMarcus Aldridge,8,41300223,5/10/2014,1610612757,POR,Portland,200746,F,,39:10:00,9,23,0.391,0,0,0,3,4,0.75,3,9,12,1,0,0,2,4,21,-7
LaMarcus Aldridge,8,41300224,5/12/2014,1610612757,POR,Portland,200746,F,,32:00:00,8,16,0.5,0,0,0,3,4,0.75,1,3,4,0,0,0,2,2,19,15
LaMarcus Aldridge,8,41300225,5/14/2014,1610612757,POR,Portland,200746,F,,40:08:00,10,21,0.476,0,0,0,1,4,0.25,0,10,10,0,0,1,2,5,21,-12
DeMarcus Cousins,9,21300016,10/30/2013,1610612758,SAC,Sacramento,202326,C,,39:10:00,13,26,0.5,0,0,0,4,7,0.571,5,9,14,1,2,2,4,4,30,4
